sb_name,cooper,pomeroy,composite,injury_adjustment,adjusted_composite,rank
Syracuse,1649.531,1685.9489,1663.0955,,1663.0955,
DePaul,1668.881,1634.705,1655.9661,,1655.9661,
Utah Valley,1640.113,1671.1995,1651.7688,,1651.7688,
Xavier,1642.005,1642.8013,1642.3004,,1642.3004,
Illinois-Chicago,1651.1219,1618.1692,1638.8203,,1638.8203,
George Mason,1633.668,1641.2629,1636.545,,1636.545,
South Carolina,1629.924,1643.9581,1635.1791,,1635.1791,
Rutgers,1666.486,1577.2416,1633.2115,,1633.2115,
California Baptist,1637.811,1617.7527,1630.2856,0,1630.2856,
Illinois St.,1630.817,1628.1998,1629.8336,,1629.8336,
Notre Dame,1602.057,1668.0553,1626.4421,,1626.4421,
Mississippi St.,1619.9659,1636.1526,1625.9894,,1625.9894,
Kansas St.,1619.125,1635.5992,1625.3318,,1625.3318,
UNLV,1630.481,1612.9384,1623.8842,,1623.8842,
Saint Joseph's,1641.087,1591.278,1622.3462,,1622.3462,
UC Irvine,1619.679,1625.6014,1621.8761,,1621.8761,
Miami University (OH),1652.995,1658.2535,1654.9507,-34,1620.9507,
Wyoming,1602.635,1639.5616,1616.516,,1616.516,
UNC Wilmington,1618.186,1610.5692,1615.3296,,1615.3296,
Stephen F. Austin,1585.7729,1661.0599,1614.155,,1614.155,
Bradley,1629.406,1574.9237,1609.2985,,1609.2985,
North Dakota St.,1615.306,1597.7579,1608.7262,0,1608.7262,14
Maryland,1616.384,1580.5605,1602.8446,,1602.8446,
Hawaii,1593.438,1618.5717,1602.7999,0,1602.7999,13
Southern Illinois,1604.934,1593.7747,1600.7212,,1600.7212,
St. Thomas,1589.848,1612.7719,1598.4879,,1598.4879,
Sam Houston,1573.4821,1608.1913,1586.5638,,1586.5638,
Davidson,1571.4399,1593.8193,1579.8271,,1579.8271,
Seattle,1568.104,1592.1129,1577.1566,,1577.1566,
Pacific,1561.108,1603.1842,1576.9166,,1576.9166,
UT Rio Grande Valley,1568.08,1588.4512,1575.6523,,1575.6523,
UAB,1576.311,1566.5951,1572.6746,,1572.6746,
Utah,1571.074,1569.3417,1570.4211,,1570.4211,
San Francisco,1564.22,1579.2667,1569.8531,,1569.8531,
Duquesne,1568.459,1566.0697,1567.5588,,1567.5588,
Harvard,1585.572,1525.2595,1562.9597,,1562.9597,
Florida Atlantic,1560.835,1564.8168,1562.332,,1562.332,
North Texas,1568.496,1549.9462,1561.6342,,1561.6342,
Liberty,1554.323,1571.1304,1560.6251,,1560.6251,
UC San Diego,1535.025,1588.6455,1555.3843,,1555.3843,
Furman,1504.015,1463.9579,1489.0219,65,1554.0219,15
Navy,1563.266,1537.0302,1553.4242,,1553.4242,
Murray St.,1537.162,1578.1555,1552.6355,,1552.6355,
St. Bonaventure,1559.165,1541.6844,1552.5962,,1552.5962,
Boston College,1570.09,1520.141,1551.4181,,1551.4181,
Toledo,1545.72,1560.5201,1551.2831,,1551.2831,
Towson,1564.939,1519.6437,1547.9918,,1547.9918,
Cornell,1563.795,1509.4934,1543.365,,1543.365,
Robert Morris,1549.308,1532.3463,1542.951,,1542.951,
Troy,1547.6021,1532.4463,1541.9435,-0.76013333,1541.1833,13
Wright St.,1531.729,1540.1577,1534.8785,5,1539.8785,14
Rhode Island,1532.668,1547.3751,1538.2041,,1538.2041,
Kent St.,1541.1949,1529.1775,1536.6931,,1536.6931,
Penn St.,1533.374,1539.74,1535.7703,,1535.7703,
Idaho,1530.425,1529.3805,1530.032,5,1535.032,15
Valparaiso,1539.91,1517.5894,1531.618,,1531.618,
Memphis,1517.4771,1549.9733,1529.557,,1529.557,
Fordham,1541.08,1510.0995,1529.4639,,1529.4639,
Arkansas St.,1530.41,1527.6527,1529.3773,,1529.3773,
Fresno St.,1507.08,1561.3501,1527.3954,,1527.3954,
Howard,1477.504,1436.6437,1462.2411,63,1525.2411,16b
Winthrop,1522.025,1523.3778,1522.5332,,1522.5332,
College of Charleston,1537.0081,1496.4619,1521.8231,,1521.8231,
UC Santa Barbara,1498.3521,1557.9315,1520.6138,,1520.6138,
Northern Colorado,1510.7791,1536.5547,1520.4302,,1520.4302,
Central Arkansas,1513.777,1525.2959,1518.0619,,1518.0619,
Merrimack,1536.481,1483.1775,1516.4474,,1516.4474,
Montana St.,1492.0601,1557.3777,1516.4368,,1516.4368,
